traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_39_59,http://www.youtube.com/watch?v=rmkzeOV5xaM,0.0590507,0.681475,10.8796,1.08912,0.496324,0.30148,1.14479,0.525535,0.164325,4.27659,1.73661,0.586347,0.552056,5.44194,4.73601,1.09833,0.539701,0.41117,2.47209,4.73601,0.473479,0.259229,0.473479,0.322409,0.358686,0.424055,0.424055,0.316001,0.548486,0.266091,0.548486,0.32402,0.321,0.321,0.321,0.301083,14.5821,16.5553,15.4175,7.56
2014_Sep_17_18_40_00,http://www.youtube.com/watch?v=F8CXqJDJl5E,0.0360737,0.212444,10.3877,1.37821,0.498207,0.262256,0.152031,0.63724,0.684761,2.8479,1.07933,0.467788,1.58606,6.12868,4.75924,0.749803,0.274119,0.51042,1.71032,4.75924,0.342985,0.186523,0.342985,0.211224,0.374532,0.450976,0.450976,0.276177,0.356819,0.124173,0.356819,0.214044,0.32094,0.321,0.321,0.272691,10.6756,10.0573,13.4415,7.18771
2014_Sep_17_18_40_01,http://www.youtube.com/watch?v=Zes_FPJUV0A,0.0238137,0.476862,9.02272,1.69281,0.496888,0.269375,0.410567,0.643874,0.298371,2.00591,1.1477,0.751269,0.435449,14.0384,4.83943,0.55408,0.525663,0.680044,2.95898,4.83943,0.232585,0.182892,0.232585,0.139767,0.374049,0.450353,0.450353,0.276965,0.39011,0.147146,0.39011,0.219811,0.320974,0.321,0.321,0.272311,6.81646,8.66188,12.0675,6.3
2014_Sep_17_18_40_02,http://www.youtube.com/watch?v=z1FlhVb01QM,0.0466388,0.439656,7.577,0.724839,0.466674,0.629054,1.16862,0.61318,1.74631,2.15872,1.24557,1.12057,0.957893,16.2912,3.52655,0.971305,0.954008,1.03261,9.93203,3.52655,0.420043,0.178984,0.420043,0.218483,0.374955,0.412044,0.412044,0.257369,0.532076,0.156845,0.532076,0.285834,0.321,0.321,0.321,0.229738,7.99662,9.25616,8.77823,5.22
2014_Sep_17_18_40_03,http://www.youtube.com/watch?v=7E1Yg0Cpx1Y,0.105598,0.221077,13.0224,1.01582,0.461749,0.532372,0.15145,0.487782,0.988803,3.69015,1.60864,0.56686,0.837134,5.80149,6.96067,0.853908,0.363351,0.649675,2.14256,6.96067,0.32533,0.199481,0.32533,0.248148,0.4593,0.487506,0.487506,0.342466,0.463592,0.180456,0.463592,0.281433,0.321,0.31395,0.321,0.25818,16.256,15.6011,21.963,8.91062
2014_Sep_17_18_40_04,http://www.youtube.com/watch?v=AGarIc4jy5Y,0.11962,0.422819,7.44047,1.21249,0.350836,0.287351,0.123307,0.617027,0.483728,2.82397,1.17443,1.00112,1.17112,1.92872,3.96062,0.806001,1.00069,1.24298,0.830976,3.96062,0.450251,0.194525,0.450251,0.26278,0.459238,0.488568,0.488568,0.367624,0.426091,0.148153,0.426091,0.2092,0.321,0.321,0.321,0.228343,8.42695,6.33598,12.6566,4.88129
2014_Sep_17_18_40_05,http://www.youtube.com/watch?v=R-9TEdK_fxU,0.101027,0.410568,6.28043,0.535489,0.355678,0.299301,0.271669,0.525472,1.74345,1.64317,0.914793,1.06534,0.820754,3.01275,3.94524,0.684567,0.940623,2.16926,1.96967,3.94524,0.374313,0.198211,0.374313,0.246045,0.479749,0.488568,0.488568,0.450787,0.299615,0.128609,0.299615,0.148898,0.321,0.321,0.321,0.185265,6.59861,3.56308,12.1562,4.23022
2014_Sep_17_18_40_06,http://www.youtube.com/watch?v=_k3CawUIV40,0.0978012,0.632176,36.8221,0.921825,0.499586,2.37745,0.829656,0.499514,1.28498,10.8557,4.35245,0.716155,1.84941,5.25166,18.6163,4.20633,0.780388,0.675677,3.38861,18.6163,0.668187,0.299189,0.668187,0.324922,0.639399,0.433393,0.639399,0.381383,0.621844,0.210142,0.621844,0.274488,0.321,0.321,0.321,0.170965,64.7871,48.2168,81.1252,20.1346
2014_Sep_17_18_40_07,http://www.youtube.com/watch?v=JC9pWPX2ovc,0.0463716,0.298511,11.819,0.459441,0.377805,1.05439,1.32997,0.594853,1.51287,1.89862,1.38371,0.85509,2.31507,3.40407,7.25388,1.17477,1.12673,1.42197,1.65789,7.25388,0.344372,0.322263,0.344372,0.236675,0.46912,0.433683,0.46912,0.198746,0.409566,0.377604,0.409566,0.274139,0.321,0.321,0.321,0.170669,12.0412,13.9869,16.1137,6.90788
2014_Sep_17_18_40_08,http://www.youtube.com/watch?v=tPAOYXQaF2g,0.0969817,0.240797,9.04947,0.346167,0.453829,1.10854,0.478333,0.517723,1.80759,3.5696,1.88556,0.625621,1.34279,4.02696,4.50296,1.44764,0.447536,0.71913,2.34302,4.50296,0.701602,0.409659,0.701602,0.415032,0.483201,0.43206,0.483201,0.292177,0.76116,0.385239,0.76116,0.398594,0.321,0.321,0.321,0.221477,15.841,15.7958,12.7901,5.77379
