traj_id,url,clearance,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_38_56,http://www.youtube.com/watch?v=_42KB11RYDM,0.0198621,2.66454e-16,1.91933,0.218078,0.263784,0.00536491,0.928971,0.237976,0.302901,0.302901,0.219043,2.47635,1.44223,0.16847,0.00527521,0.601767,0.454129,0.523789,0.523789,0.409023,4.79229,0.596783,0.490775
2014_Sep_17_18_38_57,http://www.youtube.com/watch?v=TVv9ObLSVno,0.0200931,6.21725e-16,1.90992,0.22885,0.264383,0.00539344,0.908365,0.238152,0.303379,0.303379,0.219497,2.48237,1.52692,0.169815,0.00536592,0.583624,0.455128,0.523749,0.523749,0.409426,4.79561,0.638643,0.487842
2014_Sep_17_18_38_58,http://www.youtube.com/watch?v=N1DBCn3mTjg,0.114577,0.0963375,12.6991,1.05958,1.79538,0.218101,0.922328,0.766165,0.344056,0.766165,0.481266,25.1124,5.85534,0.768512,0.121527,0.62513,0.589559,0.50141,0.589559,0.488146,26.7183,1.09527,0.496748
2014_Sep_17_18_38_59,http://www.youtube.com/watch?v=20JLLLNDK6A,0.0716781,0.158759,11.3097,0.240608,1.25092,0.42687,0.943649,0.503689,0.281293,0.503689,0.266073,13.4665,2.10392,0.604894,0.416308,0.583955,0.53629,0.476967,0.53629,0.393282,20.8488,0.298215,0.462495
2014_Sep_17_18_39_00,http://www.youtube.com/watch?v=rcvm-UERshg,0.0711522,0.237971,11.7675,0.542159,1.2454,0.207793,0.836307,0.407573,0.340195,0.407573,0.284062,14.8032,1.90309,0.684147,0.23886,0.602444,0.530008,0.503993,0.530008,0.40186,21.6825,0.595669,0.498244
2014_Sep_17_18_39_01,http://www.youtube.com/watch?v=z8KFm1jQ5Dw,0.116764,0.0449361,13.6716,0.54497,1.42799,0.0703903,0.816538,0.592446,0.504077,0.592446,0.426188,27.0979,4.90714,0.765345,0.0391674,0.56741,0.426584,0.534998,0.534998,0.384582,26.4308,0.812652,0.476836
2014_Sep_17_18_39_03,http://www.youtube.com/watch?v=egAkSBskKAE,0.104858,0.221026,8.3021,0.0900149,1.6137,0.359144,0.872948,0.728431,0.496937,0.728431,0.444636,17.6866,1.15448,0.982161,0.390453,0.582614,0.596079,0.537084,0.596079,0.447215,18.4404,0.443747,0.455957
2014_Sep_17_18_39_04,http://www.youtube.com/watch?v=kqE4EnBNM1Q,0.13227,0.224197,8.88797,0.0509205,2.31327,0.561044,0.887167,1.06634,0.512604,1.06634,0.626516,25.0297,2.20094,1.4125,0.594766,0.593402,0.841146,0.54661,0.841146,0.570839,23.5031,0.705607,0.456567
2014_Sep_17_18_39_05,http://www.youtube.com/watch?v=mQAW6rUUXsQ,0.0918391,0.931972,15.4969,0.811576,2.20359,0.949561,0.876414,0.655989,0.259001,0.655989,0.342445,25.5769,4.65069,0.96958,0.922966,0.627066,0.553728,0.483157,0.553728,0.391393,33.083,1.05242,0.494573
2014_Sep_17_18_39_06,http://www.youtube.com/watch?v=IOSQruTWLjY,0.0954623,0.633602,9.84071,0.661725,1.84836,0.986157,0.851742,0.473239,0.25901,0.473239,0.311744,15.1734,2.25272,1.05449,0.976005,0.597796,0.522416,0.483156,0.522416,0.408851,21.7466,0.732242,0.462495
2014_Sep_17_18_39_07,http://www.youtube.com/watch?v=-2waSFH0axQ,0.0738044,0.6111,10.9177,0.227104,1.62289,0.937929,0.868722,0.526946,0.258991,0.526946,0.307459,16.9569,0.691222,1.26645,1.04041,0.607801,0.715735,0.48308,0.715735,0.4762,26.6017,0.542814,0.462495
2014_Sep_17_18_39_08,http://www.youtube.com/watch?v=vDOTCcEdjJg,0.0880554,0.114984,11.3644,1.62156,0.838894,0.276395,0.797373,0.413881,0.385334,0.413881,0.243851,12.596,1.53406,0.496354,0.58922,0.488381,0.463174,0.491397,0.491397,0.343553,18.6039,0.527438,0.419343
2014_Sep_17_18_39_09,http://www.youtube.com/watch?v=TvDwbB-NIiA,0.107103,0.617191,8.06418,0.426311,1.10991,0.632276,0.827129,0.547015,0.382219,0.547015,0.350605,12.2954,3.23263,0.559101,0.420058,0.624335,0.449474,0.485327,0.485327,0.373817,13.3453,0.625268,0.419343
2014_Sep_17_18_39_10,http://www.youtube.com/watch?v=GcafoheCmyg,0.122457,0.530222,6.98724,0.0867305,1.56465,0.884621,0.972113,0.827409,0.386564,0.827409,0.486527,14.5542,3.1218,0.863376,0.798571,0.602266,0.696714,0.49705,0.696714,0.500083,14.8135,0.697563,0.419343
2014_Sep_17_18_39_11,http://www.youtube.com/watch?v=vd4PTPjkq9g,0.11691,0.171033,12.8218,0.382592,2.02251,0.311707,1.23564,0.956236,0.380262,0.956236,0.592583,39.5841,2.50043,1.0593,0.775609,0.611107,0.740602,0.576524,0.740602,0.552468,35.9525,0.691527,0.496342
2014_Sep_17_18_39_12,http://www.youtube.com/watch?v=XywZg1ijpDU,0.0692304,0.567861,6.24886,0.174933,1.16831,1.12676,0.807853,0.576607,0.379354,0.576607,0.364005,12.9293,2.85052,0.472158,0.877372,0.49718,0.464049,0.57063,0.57063,0.444854,13.6453,0.572876,0.497148
2014_Sep_17_18_39_13,http://www.youtube.com/watch?v=H_efc6vJVM8,0.0825895,0.583563,7.51716,0.167725,1.10858,0.804885,0.682366,0.606975,0.395519,0.606975,0.400824,15.8635,3.08917,0.443033,0.962074,0.564577,0.469793,0.573263,0.573263,0.449079,16.8754,0.78753,0.497544
2014_Sep_17_18_39_14,http://www.youtube.com/watch?v=PaJVc0fO8f4,0.0660797,0.797893,11.4466,0.33167,0.969029,1.43824,0.68273,0.377743,0.250354,0.377743,0.266228,12.485,2.33756,0.828852,0.940365,0.620227,0.561553,0.452791,0.561553,0.440471,22.2178,0.77461,0.499343
2014_Sep_17_18_39_15,http://www.youtube.com/watch?v=3dBNLQKlyUk,0.0635975,0.449842,7.99077,0.441755,0.936984,0.450604,1.02616,0.467824,0.248098,0.467824,0.360851,12.2321,1.92346,0.550578,0.315825,0.62524,0.442293,0.452791,0.452791,0.385481,14.1341,0.624855,0.49926
2014_Sep_17_18_39_16,http://www.youtube.com/watch?v=fVFsv7uBux4,0.102081,0.533005,10.0591,0.282703,1.04699,0.702019,0.617735,0.420661,0.249211,0.420661,0.343866,14.3084,1.64894,0.582924,0.658095,0.618357,0.446761,0.452791,0.452791,0.3815,17.4895,0.455377,0.419343
2014_Sep_17_18_39_17,http://www.youtube.com/watch?v=-ZxivkfFkYA,0.089078,0.577336,37.3132,0.930859,3.85383,0.704741,1.06354,0.796265,0.283022,0.796265,0.503626,89.9156,3.1576,2.01573,0.602941,0.613439,0.809318,0.533998,0.809318,0.461783,83.4468,0.844526,0.497331
2014_Sep_17_18_39_18,http://www.youtube.com/watch?v=vp9QSAX0Q9w,0.0836981,0.382935,11.8108,0.505782,1.07134,0.687557,0.791688,0.557055,0.284589,0.557055,0.326417,19.6459,3.45789,0.467473,0.884273,0.515719,0.525906,0.574718,0.574718,0.490231,26.4627,0.668698,0.499536
2014_Sep_17_18_39_19,http://www.youtube.com/watch?v=Am201u4Ru5c,0.0746283,0.525043,8.4549,0.162083,0.931601,0.967319,1.09406,0.538779,0.285385,0.538779,0.324164,14.9918,0.821433,0.614474,1.0302,0.617143,0.698225,0.573832,0.698225,0.56633,21.9664,0.325991,0.497414
2014_Sep_17_18_39_20,http://www.youtube.com/watch?v=xnnGiKtl4us,0.0541744,0.0941964,11.161,0.929691,0.682947,0.229047,0.828563,0.403993,0.400458,0.403993,0.291343,17.3353,3.46269,0.436598,0.24033,0.453823,0.560221,0.58528,0.58528,0.499998,27.2667,0.770026,0.477031
2014_Sep_17_18_39_21,http://www.youtube.com/watch?v=xPH5ut3lPYs,0.0912011,0.576875,8.38087,0.10601,1.39809,0.985388,0.805411,0.710415,0.379628,0.710415,0.424059,19.3219,2.39825,0.494802,1.06554,0.604541,0.598432,0.583976,0.598432,0.512927,21.6673,0.255632,0.462495
2014_Sep_17_18_39_22,http://www.youtube.com/watch?v=9sIZEtelkA4,0.0411169,0.639102,6.11531,0.2602,0.730588,0.566778,0.869431,0.387927,0.378404,0.387927,0.296027,9.96932,1.45436,0.416031,1.22637,0.581496,0.561536,0.585521,0.585521,0.496758,15.037,0.600764,0.462495
2014_Sep_17_18_39_23,http://www.youtube.com/watch?v=uoyDa8pqSxU,0.0901432,0.192736,12.3546,0.890923,1.24381,0.349596,0.708127,0.487438,0.226455,0.487438,0.252424,15.2907,2.87633,0.71536,0.567515,0.884811,0.570859,0.392532,0.570859,0.384767,23.199,0.851423,0.489555
2014_Sep_17_18_39_24,http://www.youtube.com/watch?v=7zk8K4YgZto,0.0922755,0.513671,9.91623,0.142698,1.8166,0.853433,0.792006,0.781091,0.228326,0.781091,0.383098,17.6883,1.74049,0.877942,1.05294,0.522965,0.639007,0.394777,0.639007,0.41325,19.6465,0.340182,0.494782
2014_Sep_17_18_39_25,http://www.youtube.com/watch?v=xvz9LplSZ9w,0.0619998,0.263912,11.6499,0.438146,1.01932,0.670547,0.712819,0.363794,0.22617,0.363794,0.225155,13.5441,1.72666,0.432155,0.915746,0.52716,0.416191,0.3918,0.416191,0.343264,20.2155,0.320691,0.498456
2014_Sep_17_18_39_26,http://www.youtube.com/watch?v=Cxqyop66foo,0.117308,0.348874,9.01798,0.408857,1.44321,0.36776,0.829434,0.837034,0.408253,0.837034,0.512711,20.3747,3.32703,0.91059,0.390294,0.617521,0.753708,0.549065,0.753708,0.575771,23.0538,0.818963,0.495764
2014_Sep_17_18_39_27,http://www.youtube.com/watch?v=GkhKIkFQZfE,0.0405844,0.732667,4.53217,0.276247,0.643483,0.454362,0.77278,0.345043,0.392879,0.392879,0.263532,5.59225,2.28211,0.374531,0.452338,0.580807,0.50113,0.558657,0.558657,0.450876,8.56823,0.698991,0.491302
2014_Sep_17_18_39_28,http://www.youtube.com/watch?v=robHwWU6zXA,0.0639911,0.625374,6.77268,0.179011,0.700373,0.611296,0.73633,0.413401,0.383521,0.413401,0.284659,8.57651,2.00879,0.287101,0.00857251,0.664444,0.466627,0.548589,0.548589,0.432183,12.5345,0.370956,0.497124
2014_Sep_17_18_39_29,http://www.youtube.com/watch?v=t7IBHY1VHyA,0.084863,0.526009,8.9606,0.309711,0.481644,0.281682,3.15648,0.268201,0.25306,0.268201,0.207783,8.80757,1.69516,0.459333,0.273204,0.582772,0.458582,0.450414,0.458582,0.396194,16.2339,0.842909,0.499294
2014_Sep_17_18_39_30,http://www.youtube.com/watch?v=G59jaDqGKqc,0.139217,0.430116,12.7107,0.499883,1.45911,0.306318,1.50061,0.614878,0.184945,0.614878,0.291089,16.3149,5.30173,1.07612,0.511879,0.550873,0.713665,0.416771,0.713665,0.48539,26.519,0.600676,0.489705
2014_Sep_17_18_39_31,http://www.youtube.com/watch?v=Nw4veSupc2Y,0.095752,0.923548,6.01704,0.15721,0.88642,0.820306,0.513984,0.33182,0.201814,0.33182,0.186614,4.79771,1.49572,0.247099,0.33134,0.586845,0.340274,0.416277,0.416277,0.280862,7.90247,0.0883728,0.489705
2014_Sep_17_18_39_32,http://www.youtube.com/watch?v=g6jWC0lhiPk,0.105991,0.881988,6.78571,0.169007,0.867823,0.732943,0.597645,0.33153,0.191353,0.33153,0.180625,5.3691,1.18347,0.302354,0.828701,0.577603,0.379241,0.416181,0.416181,0.303536,9.5621,0.117145,0.489705
2014_Sep_17_18_39_33,http://www.youtube.com/watch?v=uYhftRE_J3Y,0.0496289,0.258367,6.23436,0.271641,0.69021,0.511072,1.0243,0.254935,0.192152,0.254935,0.159278,4.45908,1.92036,0.545267,0.247565,0.583082,0.306921,0.393108,0.393108,0.2045,8.03766,1.36117,0.495142
2014_Sep_17_18_39_34,http://www.youtube.com/watch?v=KWuqd-rmaQY,0.0546549,0.855274,6.84774,0.115057,0.765957,0.772919,0.53987,0.288127,0.192152,0.288127,0.192007,6.28979,1.02787,0.518873,1.11308,0.707958,0.306396,0.350139,0.350139,0.114271,4.92868,0.348866,0.490947
2014_Sep_17_18_39_35,http://www.youtube.com/watch?v=03d1IeU5epQ,0.0546925,0.911345,5.79719,0.177602,0.642128,0.421024,0.614423,0.264659,0.192152,0.264659,0.155533,4.6509,3.01024,0.579109,1.55982,0.658779,0.306384,0.336463,0.336463,0.132757,4.00731,0.987897,0.498357
2014_Sep_17_18_39_36,http://www.youtube.com/watch?v=VWQGbZfcVUU,0.0513847,0.284432,7.84873,0.519506,0.736084,0.193123,0.833202,0.243742,0.302937,0.302937,0.181991,7.64796,3.88618,0.442767,0.3294,0.597597,0.403447,0.431594,0.431594,0.308796,12.5936,0.914895,0.496574
2014_Sep_17_18_39_37,http://www.youtube.com/watch?v=OcOhThF_Vsg,0.0492682,0.641034,6.97842,0.432516,0.939476,0.770182,0.82248,0.343499,0.302712,0.343499,0.20173,7.52211,2.01538,0.657552,0.956417,0.615178,0.517818,0.441487,0.517818,0.378482,12.7494,0.590994,0.472906
2014_Sep_17_18_39_38,http://www.youtube.com/watch?v=SXiOO3wQsrs,0.161214,0.61301,9.4179,0.268178,1.65977,0.830868,0.860108,0.593992,0.299779,0.593992,0.366727,16.0414,1.62312,0.932385,0.97265,0.621487,0.624469,0.453588,0.624469,0.387097,17.5449,0.692835,0.483598
2014_Sep_17_18_39_39,http://www.youtube.com/watch?v=yzfdSrGLBKE,0.0741203,0.185414,8.12276,0.774837,0.888835,0.0805389,1.31179,0.345724,0.358783,0.358783,0.220767,7.40536,4.065,0.566049,0.0386221,0.992655,0.301901,0.400436,0.400436,0.182389,8.5326,1.7106,0.4952
2014_Sep_17_18_39_40,http://www.youtube.com/watch?v=AEwDz3W5PgE,0.161237,0.9596,6.21831,0.0756274,1.32647,0.562051,0.799034,0.570358,0.439705,0.570358,0.362336,9.18921,0.929495,0.962815,0.687622,0.601455,0.502794,0.478395,0.502794,0.331509,9.94856,0.492919,0.491621
2014_Sep_17_18_39_41,http://www.youtube.com/watch?v=-MjKbUecZiU,0.068906,0.687981,5.15197,0.150029,0.927028,0.254353,0.826718,0.377269,0.402045,0.402045,0.26401,5.63179,2.36864,0.57117,0.029057,0.559568,0.300635,0.411444,0.411444,0.18836,4.83723,0.90025,0.490542
2014_Sep_17_18_39_42,http://www.youtube.com/watch?v=Mc8jQ-LMIBY,0.140118,0.480916,30.9997,1.21994,3.43838,0.699148,0.879198,0.881775,0.192152,0.881775,0.376642,51.9192,3.27696,2.28164,0.590374,0.576814,0.83265,0.34609,0.83265,0.511945,66.0325,1.40568,0.492975
2014_Sep_17_18_39_43,http://www.youtube.com/watch?v=lbUG13Qiy3I,0.110781,0.72951,8.24876,0.177419,1.14572,0.706112,0.948759,0.414257,0.192152,0.414257,0.2736,9.72765,2.0571,0.860847,0.836879,0.621559,0.58941,0.444466,0.58941,0.497941,17.0071,0.887564,0.499074
2014_Sep_17_18_39_44,http://www.youtube.com/watch?v=dQ2oBy9t0lE,0.106832,0.978015,5.8687,0.076955,1.13511,1.23411,0.720489,0.542786,0.192152,0.542786,0.281389,7.25228,2.2543,0.442989,1.18157,0.612986,0.53891,0.445088,0.53891,0.432454,10.1601,0.159581,0.479323
2014_Sep_17_18_39_45,http://www.youtube.com/watch?v=XJQlDSNafWk,0.0799438,0.114336,11.4872,0.952798,0.941708,0.487429,3.41643,0.510549,0.291986,0.510549,0.321777,16.9419,2.3508,0.306659,0.0421611,0.620585,0.429295,0.398554,0.429295,0.364538,18.081,0.833267,0.494965
2014_Sep_17_18_39_46,http://www.youtube.com/watch?v=eF_66Ed5frQ,0.086394,0.189455,7.0012,0.392853,1.08845,0.728959,0.77393,0.578135,0.299903,0.578135,0.421,12.8863,1.66157,0.466715,1.29814,0.597746,0.504322,0.424973,0.504322,0.458276,13.5696,0.444412,0.492101
2014_Sep_17_18_39_47,http://www.youtube.com/watch?v=HYs2JUosG28,0.0773487,0.203514,6.80159,0.104756,0.910135,0.667506,0.689625,0.4994,0.306657,0.4994,0.330711,9.35125,1.85796,0.738167,0.944341,0.598373,0.607173,0.424829,0.607173,0.489826,13.767,0.521966,0.49589
2014_Sep_17_18_39_48,http://www.youtube.com/watch?v=KnPJ8aCmJBE,0.0508086,0.0945548,16.5487,0.997109,1.17981,0.0481486,0.934048,0.380296,0.292096,0.380296,0.297218,23.8055,1.27355,1.12473,0.154308,0.621697,0.420131,0.371633,0.420131,0.167113,16.7332,1.53441,0.499772
2014_Sep_17_18_39_49,http://www.youtube.com/watch?v=FfC5DWO5Kf8,0.0270727,0.90513,12.3643,0.698738,1.46908,1.49682,0.620158,0.459333,0.340081,0.459333,0.294875,16.3704,4.472,0.524235,1.9278,0.722596,0.34245,0.471259,0.471259,0.257739,16.3465,0.71314,0.346661
2014_Sep_17_18_39_50,http://www.youtube.com/watch?v=dUUA_WMLNBo,0.0651313,0.3287,15.8242,0.236565,2.14798,1.02778,0.935969,0.581333,0.350319,0.581333,0.354766,24.702,2.10553,1.16054,0.43657,0.623656,0.538406,0.471436,0.538406,0.343822,29.3824,0.583391,0.499153
2014_Sep_17_18_39_51,http://www.youtube.com/watch?v=f2rlDPGo5D8,0.0661161,0.877167,14.9448,0.576868,2.07791,1.05701,0.940677,0.494696,0.238176,0.494696,0.241547,22.2847,3.63821,1.20576,1.17885,6.37712,0.366097,0.448426,0.448426,0.201526,21.212,1.33701,0.499492
2014_Sep_17_18_39_52,http://www.youtube.com/watch?v=aPR5Qh956j4,0.0922045,0.595125,27.9053,1.26274,1.98449,0.665497,1.26309,0.558583,0.308148,0.558583,0.331875,44.9883,2.49288,1.15288,0.515694,0.687488,0.518651,0.411406,0.518651,0.389026,50.7234,0.722878,0.493561
2014_Sep_17_18_39_53,http://www.youtube.com/watch?v=5n8t3wThAbg,0.0514609,0.771537,20.0204,2.38472,1.59698,0.727087,1.13196,0.535993,0.217483,0.535993,0.214819,17.3835,2.13299,0.952108,1.07744,0.690215,0.540584,0.411406,0.540584,0.394297,36.5493,1.50914,0.498532
2014_Sep_17_18_39_54,http://www.youtube.com/watch?v=BFzhrEmlF4s,0.0823667,0.321867,6.18705,0.284946,0.929582,0.751873,0.820172,0.496532,0.307051,0.496532,0.326229,9.19578,3.0853,0.488782,0.363395,0.594125,0.448327,0.411406,0.448327,0.412753,10.7718,0.591125,0.487513
2014_Sep_17_18_39_55,http://www.youtube.com/watch?v=dSs5cEMCWZs,0.0757681,0.0640625,12.1179,0.761029,0.920049,0.460922,0.751558,0.515202,0.297135,0.515202,0.324471,16.294,1.50484,0.688678,0.783156,0.612259,0.578114,0.411406,0.578114,0.473198,24.6377,0.43825,0.499865
2014_Sep_17_18_39_56,http://www.youtube.com/watch?v=9ogGYrtMQZU,0.0357092,0.301247,13.3361,0.38709,1.2348,0.758378,1.38996,0.435032,0.299444,0.435032,0.322285,20.9988,1.19388,0.915417,1.59329,0.623439,0.420131,0.431157,0.431157,0.184722,15.1732,0.586317,0.476366
2014_Sep_17_18_39_57,http://www.youtube.com/watch?v=52u9f6unLoE,0.0348524,0.576838,12.6966,0.551973,1.00301,0.178442,0.611708,0.508796,0.258342,0.508796,0.361892,18.5464,2.39762,0.284453,0.390461,0.63103,0.416137,0.437928,0.437928,0.379584,20.9015,0.233594,0.491965
2014_Sep_17_18_39_58,http://www.youtube.com/watch?v=xjNjQ9iKxfQ,0.0753643,0.478173,13.473,0.273574,1.68285,0.486975,0.561587,0.71561,0.255055,0.71561,0.501298,27.2886,1.3486,0.500679,0.569934,0.519693,0.463688,0.438105,0.463688,0.392781,22.6777,0.450444,0.493166
2014_Sep_17_18_39_59,http://www.youtube.com/watch?v=rmkzeOV5xaM,0.0590507,0.681475,10.8796,0.23853,1.09833,0.539701,0.473696,0.473479,0.257337,0.473479,0.322406,14.592,2.47209,0.30148,1.14479,0.58867,0.3586,0.424055,0.424055,0.30844,15.3449,0.104796,0.496324
2014_Sep_17_18_40_00,http://www.youtube.com/watch?v=F8CXqJDJl5E,0.0360737,0.212444,10.3877,1.10126,0.749803,0.274119,0.51042,0.342543,0.186523,0.342543,0.211228,10.6464,1.45667,0.262256,0.152031,0.63724,0.374405,0.450976,0.450976,0.27102,13.3325,0.684761,0.498207
2014_Sep_17_18_40_01,http://www.youtube.com/watch?v=Zes_FPJUV0A,0.0238137,0.476862,9.02272,0.533867,0.55408,0.525663,0.680044,0.231321,0.182892,0.231321,0.139567,6.76782,0.775786,0.269375,0.410567,0.643874,0.373764,0.450353,0.450353,0.273065,11.9419,0.298371,0.496888
2014_Sep_17_18_40_02,http://www.youtube.com/watch?v=z1FlhVb01QM,0.0466388,0.439656,7.577,0.149065,0.971305,0.954008,1.03262,0.419618,0.178984,0.419618,0.217848,7.97523,2.37732,0.629054,1.16862,0.620402,0.374733,0.412044,0.412044,0.25007,8.67569,0.389281,0.466674
2014_Sep_17_18_40_03,http://www.youtube.com/watch?v=7E1Yg0Cpx1Y,0.105598,0.221077,13.0224,0.481221,0.853908,0.363351,0.649675,0.32533,0.201216,0.32533,0.248136,16.153,2.14256,0.532372,0.15145,0.504897,0.459298,0.487506,0.487506,0.337686,21.8026,0.412763,0.461749
2014_Sep_17_18_40_04,http://www.youtube.com/watch?v=AGarIc4jy5Y,0.11962,0.422819,7.44047,0.316424,0.806001,1.00069,1.24298,0.450249,0.196239,0.450249,0.262776,8.37483,0.830976,0.287351,0.123307,0.617027,0.459238,0.488568,0.488568,0.35887,12.5557,0.159369,0.350836
