traj_id,url,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_40_07,http://www.youtube.com/watch?v=JC9pWPX2ovc,0.298511,11.819,0.32349,1.17477,1.12673,1.42197,12.5739,12.5666,12.5739,12.0677,0.911168,0.555368,1.05439,1.32997,0.594853,12.7771,12.8864,12.8864,12.3719,0.91901,0.572006,0.377805
2014_Sep_17_18_40_08,http://www.youtube.com/watch?v=tPAOYXQaF2g,0.240797,9.04947,0.346167,1.44764,0.447536,0.71913,12.5739,12.5551,12.5739,11.9995,0.899309,2.29709,1.10854,0.478333,0.593336,12.7771,12.828,12.828,12.2331,0.900926,0.398274,0.453829
2014_Sep_17_18_40_09,http://www.youtube.com/watch?v=BedTY1Ghn3g,0.640337,58.5775,1.13898,4.72425,0.87626,0.855117,13.2153,12.8245,13.2153,12.4395,0.969721,2.54708,3.09293,0.940011,0.594908,12.9883,12.9928,12.9928,12.5082,0.985573,0.958714,0.499896
2014_Sep_17_18_40_10,http://www.youtube.com/watch?v=T2Wwnqo7EUA,0.313524,12.6429,0.503285,2.03752,0.477481,0.597553,31.5117,31.2581,31.5117,30.9571,0.976344,0.846189,1.63578,0.365598,0.506517,31.545,31.4931,31.545,31.0737,0.978785,0.561944,0.49687
2014_Sep_17_18_40_11,http://www.youtube.com/watch?v=bJCNu9jLXrs,0.422691,14.319,0.7509,1.67678,0.423344,0.65938,0.528434,0.341664,0.528434,0.252383,0.275962,2.18937,1.37719,0.202299,0.580528,0.320974,0.303417,0.320974,0.203436,0.238818,0.780862,0.497901
2014_Sep_17_18_40_12,http://www.youtube.com/watch?v=cCdiuSi-nd4,0.76128,25.9599,0.885861,2.75873,1.0284,2.32012,1625.81,1625.38,1625.81,1625.44,0.989931,3.63444,1.80034,1.131,0.603397,1625.64,1625.46,1625.64,1625.31,0.989962,0.48314,0.491721
2014_Sep_17_18_40_13,http://www.youtube.com/watch?v=iqg-X16vWEg,0.510159,11.9059,0.52068,1.95915,0.703267,0.822637,1625.84,1625.42,1625.84,1625.31,0.978281,1.29958,1.1203,1.14126,0.573464,1625.57,1625.44,1625.57,1625.15,0.978349,0.517821,0.474763
2014_Sep_17_18_40_14,http://www.youtube.com/watch?v=cp9MhJMMNEM,0.403502,9.11349,0.307889,0.909897,0.452987,0.652354,0.532582,0.348633,0.532582,0.367891,0.549434,0.650042,0.78686,0.291344,0.603126,0.267802,0.229852,0.267802,0.184304,0.265459,0.443437,0.388818
2014_Sep_17_18_40_15,http://www.youtube.com/watch?v=wk1hxQcKpp0,0.679079,10.0076,0.974297,0.97916,0.780775,4.25142,0.387348,0.325549,0.387348,0.320814,0.364816,2.24897,0.800585,0.877301,0.629938,0.314708,0.345691,0.345691,0.209414,0.318797,1.03488,0.37419
2014_Sep_17_18_40_16,http://www.youtube.com/watch?v=luwSMu2K41M,0.382098,9.40503,0.595043,0.793573,0.207672,0.813638,0.40822,0.384684,0.40822,0.356971,0.435288,0.855207,0.641755,0.0454951,0.630695,0.314749,0.345073,0.345073,0.231311,0.342822,0.566225,0.365675
2014_Sep_17_18_40_17,http://www.youtube.com/watch?v=bTvwQQ4iAGs,0.165756,12.4414,0.513528,1.09793,0.313555,1.96962,0.585863,0.380235,0.585863,0.439319,0.530881,1.31536,0.666178,0.640673,0.614774,0.314708,0.343152,0.343152,0.252534,0.326616,0.668539,0.495645
2014_Sep_17_18_40_18,http://www.youtube.com/watch?v=3x7TDLkO_BQ,0.577904,28.7376,0.628584,2.10822,0.692569,0.691779,0.580473,0.333463,0.580473,0.458025,0.729725,1.68037,1.25166,0.688559,0.621454,0.351931,0.273579,0.351931,0.246226,0.446703,0.536023,0.497588
2014_Sep_17_18_40_19,http://www.youtube.com/watch?v=RFfHsCnvI08,0.390213,7.77211,0.0906127,1.09288,0.650876,1.31052,0.662847,0.33629,0.662847,0.47888,0.667387,1.00456,0.932409,0.373517,0.583311,0.405469,0.301294,0.405469,0.268733,0.45381,0.487683,0.494392
2014_Sep_17_18_40_20,http://www.youtube.com/watch?v=J9igqZE8sg0,0.14701,9.98614,0.160242,1.1256,0.798904,0.692538,0.649054,0.342169,0.649054,0.476959,0.652382,0.965769,0.892171,0.253005,0.609399,0.375015,0.287704,0.375015,0.269154,0.453638,0.600935,0.497358
2014_Sep_17_18_40_21,http://www.youtube.com/watch?v=8HSj_Y94Ai0,1.20336,28.6343,0.93556,3.00486,1.00876,0.586989,0.728065,0.413048,0.728065,0.411277,0.501742,4.02631,1.61972,1.03795,0.593419,0.504806,0.325734,0.504806,0.273118,0.3747,0.666388,0.499706
2014_Sep_17_18_40_22,http://www.youtube.com/watch?v=iVf57XlPQMk,0.304862,16.3231,0.414168,2.12397,0.505818,0.623322,1.15197,1.01107,1.15197,0.877651,0.856305,1.46171,1.46396,0.455113,0.510222,1.02534,0.826266,1.02534,0.663742,0.78169,0.427732,0.499832
2014_Sep_17_18_40_23,http://www.youtube.com/watch?v=3gVMN3Uiy60,0.352572,16.112,0.438474,1.64383,0.564,1.91029,1865.63,1865.51,1865.63,1865.29,0.984036,4.25232,1.17687,0.23593,0.520983,1865.37,1865.35,1865.37,1865.06,0.984055,0.795423,0.497615
