traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_39_06,http://www.youtube.com/watch?v=IOSQruTWLjY,0.0954623,0.633602,9.84071,0.661725,0.462495,1.05449,0.976005,0.514892,2.19246,3.33139,2.07325,1.14,1.05873,4.38394,4.35396,1.84836,0.986157,0.728045,5.08237,4.35396,0.472342,0.228945,0.472342,0.31236,0.522626,0.455072,0.522626,0.417301,0.42997,0.252696,0.42997,0.229195,0.321,0.321,0.321,0.284744,14.4545,9.3043,21.3037,5.89266
2014_Sep_17_18_39_07,http://www.youtube.com/watch?v=-2waSFH0axQ,0.0738044,0.6111,10.9177,0.227104,0.462495,1.26645,1.04041,0.516824,1.74119,2.87848,1.66777,1.32449,2.62184,3.31671,4.95631,1.62289,0.937929,0.738159,3.07642,4.95631,0.527173,0.19894,0.527173,0.30863,0.715685,0.455072,0.715685,0.48373,0.414806,0.170646,0.414806,0.217454,0.321,0.321,0.321,0.249263,16.2489,10.5168,26.2924,7.32888
2014_Sep_17_18_39_08,http://www.youtube.com/watch?v=vDOTCcEdjJg,0.0880554,0.114984,11.3644,2.57915,0.419343,0.496354,0.58922,0.458975,1.19026,1.32545,1.30687,0.129106,0.933619,19.9655,6.55389,0.838894,0.276395,0.593079,3.81287,6.55389,0.39242,0.324894,0.39242,0.21227,0.461085,0.491397,0.491397,0.341558,0.436684,0.330813,0.436684,0.195916,0.321,0.321,0.321,0.310165,10.7569,11.0773,18.144,7.70974
2014_Sep_17_18_39_09,http://www.youtube.com/watch?v=TvDwbB-NIiA,0.107103,0.617191,8.06418,2.15432,0.419343,0.559101,0.420058,0.509062,1.63882,1.97762,1.57105,0.576727,1.02684,13.2619,3.7674,1.10991,0.632276,0.827129,4.48532,3.7674,0.49328,0.318662,0.49328,0.312149,0.432592,0.474941,0.474941,0.370739,0.581098,0.332582,0.581098,0.32405,0.321,0.321,0.321,0.318634,11.0767,12.3363,12.9367,5.47624
2014_Sep_17_18_39_10,http://www.youtube.com/watch?v=GcafoheCmyg,0.122457,0.530222,6.98724,0.176711,0.419343,0.863376,0.798571,0.514653,2.09464,2.36707,1.85267,0.97087,0.924475,5.76844,2.2704,1.56465,0.884621,0.828239,4.87029,2.2704,0.827409,0.326457,0.827409,0.471323,0.684462,0.494629,0.684462,0.505749,0.849205,0.321855,0.849205,0.437064,0.321,0.321,0.321,0.322663,13.7723,12.9149,14.5495,4.44594
2014_Sep_17_18_39_11,http://www.youtube.com/watch?v=vd4PTPjkq9g,0.11691,0.171033,12.8218,1.06903,0.496342,1.0593,0.775609,0.611107,1.93864,4.32754,2.5724,0.377408,2.20526,16.2744,7.76056,2.02251,0.311707,1.23564,10.4131,7.76056,0.956236,0.31597,0.956236,0.584777,0.740602,0.508658,0.740602,0.563199,0.997625,0.187979,0.997625,0.532832,0.321,0.321,0.321,0.310583,34.1092,29.644,32.7627,8.16032
2014_Sep_17_18_39_12,http://www.youtube.com/watch?v=XywZg1ijpDU,0.0692304,0.567861,6.24886,1.17063,0.497148,0.472158,0.877372,0.483599,0.572876,2.47667,1.46328,1.34463,0.915042,10.5608,2.75384,1.16831,1.12676,0.807853,8.7411,2.75384,0.576607,0.311271,0.576607,0.349016,0.464049,0.491698,0.491698,0.457218,0.52023,0.174815,0.52023,0.248387,0.321,0.321,0.321,0.307016,10.1444,6.76176,12.1313,4.11033
2014_Sep_17_18_39_13,http://www.youtube.com/watch?v=H_efc6vJVM8,0.0825895,0.583563,7.51716,0.715766,0.497544,0.443033,0.962074,0.564577,0.78753,2.91603,1.58641,1.04592,0.79753,8.51982,4.78932,1.10858,0.804885,0.682366,4.08579,4.78932,0.606975,0.33238,0.606975,0.381661,0.469793,0.499189,0.499189,0.460413,0.642572,0.206395,0.642572,0.305769,0.321,0.321,0.321,0.322511,12.2209,9.40594,15.0792,5.06709
2014_Sep_17_18_39_14,http://www.youtube.com/watch?v=PaJVc0fO8f4,0.0660797,0.797893,11.4466,0.397289,0.499343,0.828852,0.940365,0.48985,1.92151,2.02785,1.22347,1.40898,0.790409,3.9406,5.9392,0.969029,1.43824,0.682755,2.76861,5.9392,0.341019,0.223961,0.341019,0.249276,0.561433,0.452791,0.561433,0.444489,0.238731,0.186398,0.238731,0.143004,0.321,0.321,0.321,0.2698,11.8434,7.00616,22.1282,7.26303
2014_Sep_17_18_39_15,http://www.youtube.com/watch?v=3dBNLQKlyUk,0.0635975,0.449842,7.99077,0.944661,0.49926,0.550578,0.315825,0.527603,1.71119,1.75913,1.12625,0.682418,1.21864,3.46173,4.10155,0.936984,0.450604,0.863381,4.26485,4.10155,0.469213,0.222243,0.469213,0.345145,0.44066,0.452791,0.452791,0.391132,0.469545,0.205338,0.469545,0.273451,0.321,0.321,0.321,0.325938,11.5534,9.51577,14.0417,5.01139
2014_Sep_17_18_39_16,http://www.youtube.com/watch?v=fVFsv7uBux4,0.102081,0.533005,10.0591,1.01291,0.419343,0.582924,0.658095,0.523563,2.01074,2.70746,1.36269,0.946702,0.81376,6.7383,5.46251,1.04699,0.702019,0.617735,3.32941,5.46251,0.418332,0.224233,0.418332,0.31453,0.439548,0.452791,0.452791,0.384236,0.461012,0.20466,0.461012,0.287322,0.321,0.321,0.321,0.280269,13.0944,12.457,17.4853,6.50375
2014_Sep_17_18_39_17,http://www.youtube.com/watch?v=-ZxivkfFkYA,0.089078,0.577336,37.3132,0.930859,0.497331,2.01573,0.602941,0.613439,1.60275,10.8074,5.20803,0.753862,1.25107,10.4529,15.9707,3.85383,0.704741,1.06354,3.62038,15.9707,0.796265,0.261808,0.796265,0.501853,0.809318,0.495052,0.809318,0.462748,0.83599,0.182879,0.83599,0.536941,0.321,0.321,0.321,0.267712,84.0213,88.3467,76.0077,25.1943
2014_Sep_17_18_39_18,http://www.youtube.com/watch?v=vp9QSAX0Q9w,0.0836981,0.382935,11.8108,1.33513,0.499536,0.467473,0.884273,0.515719,0.96846,2.46104,1.7835,0.653199,0.876775,8.93591,7.36964,1.07134,0.687557,0.719509,5.33739,7.36964,0.557055,0.263032,0.557055,0.322379,0.525906,0.517899,0.525906,0.495024,0.721054,0.188359,0.721054,0.340338,0.321,0.321,0.321,0.318266,18.0799,17.29,24.3136,7.99277
2014_Sep_17_18_39_19,http://www.youtube.com/watch?v=Am201u4Ru5c,0.0746283,0.525043,8.4549,0.748351,0.497414,0.614474,1.0302,0.617143,1.83171,1.86033,1.04138,0.921717,1.52563,3.22474,3.73734,0.931601,0.967319,1.09406,4.43658,3.73734,0.538779,0.252615,0.538779,0.320524,0.698225,0.517963,0.698225,0.574271,0.446834,0.174793,0.446834,0.210054,0.321,0.321,0.321,0.281494,13.7561,8.01433,20.4458,4.45678
2014_Sep_17_18_39_20,http://www.youtube.com/watch?v=xnnGiKtl4us,0.0541744,0.0941964,11.161,2.47362,0.477031,0.436598,0.24033,0.453823,1.78042,1.66535,1.06319,0.468424,0.792295,12.3902,6.68086,0.682947,0.229047,0.828563,7.47039,6.68086,0.347699,0.337649,0.347699,0.276843,0.560221,0.493902,0.560221,0.495394,0.41506,0.213967,0.41506,0.213369,0.321,0.321,0.321,0.291316,14.0043,10.4308,23.549,7.74
2014_Sep_17_18_39_21,http://www.youtube.com/watch?v=xPH5ut3lPYs,0.0912011,0.576875,8.38087,0.727796,0.462495,0.494802,1.06554,0.604546,1.65403,3.32719,1.95188,1.02024,0.88353,11.3799,3.81953,1.39809,0.985388,0.716354,9.1112,3.81953,0.710415,0.337949,0.710415,0.415273,0.598432,0.494518,0.598432,0.516334,0.786086,0.241631,0.786086,0.391809,0.321,0.321,0.321,0.322689,16.401,14.1273,18.4312,5.51602
